DAO_url,DAO_file,repository_name
/src/main/java/com/wti/admin/bizDvr/dao/BudgetDvrRqstSttnDAO.java,BudgetDvrRqstSttnDAO.java,budgetDvrRqstSttnDAO
/src/main/java/com/wti/admin/bizMng/dbMng/dao/BudgetDvrDAO.java,BudgetDvrDAO.java,budgetDvrDAO
/src/main/java/com/wti/admin/bizMng/dbMng/dao/JoinStdnExcelRegDAO.java,JoinStdnExcelRegDAO.java,JoinStdnExcelRegDAO
/src/main/java/com/wti/admin/bizMng/dbMng/dao/StdnRegExcelRegInfoDAO.java,StdnRegExcelRegInfoDAO.java,stdnRegExcelRegInfoDAO
/src/main/java/com/wti/admin/bizMng/histMng/dao/HistInqrDAO.java,HistInqrDAO.java,histInqrDAO
/src/main/java/com/wti/admin/bizMng/histMng/dao/HistMngDAO.java,HistMngDAO.java,HistMngDAO
/src/main/java/com/wti/admin/bizMng/histMng/dao/HistMngExcelRegDAO.java,HistMngExcelRegDAO.java,HistMngExcelRegDAO
/src/main/java/com/wti/admin/bizMng/histMng/dao/HistMngWhlDAO.java,HistMngWhlDAO.java,HistMngWhlDAO
/src/main/java/com/wti/admin/bizMng/hmpyLinkMng/dao/HmpyLinkMngWhlDAO.java,HmpyLinkMngWhlDAO.java,HmpyLinkMngWhlDAO
/src/main/java/com/wti/admin/bizMng/hmpyLinkMng/dao/HmpyLinkMngWhlExcelRegDAO.java,HmpyLinkMngWhlExcelRegDAO.java,HmpyLinkMngWhlExcelRegDAO
/src/main/java/com/wti/admin/bizMng/mbrSttn/dao/MbrAdminRoleDAO.java,MbrAdminRoleDAO.java,MbrAdminRoleDAO
/src/main/java/com/wti/admin/bizMng/mbrSttn/dao/MbrAdminRoleDetlDAO.java,MbrAdminRoleDetlDAO.java,MbrAdminRoleDetlDAO
/src/main/java/com/wti/admin/bizMng/mbrSttn/dao/MbrCtlgDAO.java,MbrCtlgDAO.java,mbrCtlgDAO
/src/main/java/com/wti/admin/bizMng/mbrSttn/dao/MbrDetlDAO.java,MbrDetlDAO.java,MbrDetlDAO
/src/main/java/com/wti/admin/bizMng/mbrSttn/dao/MbrItmzDAO.java,MbrItmzDAO.java,mbrItmzDAO
/src/main/java/com/wti/admin/bizMng/ntthMng/dao/IntrrtSttmntInfoDAO.java,IntrrtSttmntInfoDAO.java,intrrtSttmntInfoDAO
/src/main/java/com/wti/admin/bizMng/ntthMng/dao/SchNwsInfoDAO.java,SchNwsInfoDAO.java,schNwsInfoDAO
/src/main/java/com/wti/admin/bizMng/ntthMng/dao/SchNwsMngDAO.java,SchNwsMngDAO.java,schNwsMngDAO
/src/main/java/com/wti/admin/bizMng/poolMng/dao/JoinEnpAplyInfoDAO.java,JoinEnpAplyInfoDAO.java,JoinEnpAplyInfoDAO
/src/main/java/com/wti/admin/bizMng/poolMng/dao/JoinEnpPoolSttnDAO.java,JoinEnpPoolSttnDAO.java,JoinEnpPoolSttnDAO
/src/main/java/com/wti/admin/bizMng/poolMng/dao/SpctrAplyInfoDAO.java,SpctrAplyInfoDAO.java,spctrAplyInfoDAO
/src/main/java/com/wti/admin/bizMng/poolMng/dao/SpctrPoolSttnDAO.java,SpctrPoolSttnDAO.java,spctrPoolSttnDAO
/src/main/java/com/wti/admin/bizMng/reg/dao/BizNotcRegDAO.java,BizNotcRegDAO.java,bizNotcRegDAO
/src/main/java/com/wti/admin/bizMng/reg/dao/BizNotcSttnDAO.java,BizNotcSttnDAO.java,bizNotcSttnDAO
/src/main/java/com/wti/admin/bizMng/reg/dao/BizRegInfoDAO.java,BizRegInfoDAO.java,bizRegInfoDAO
/src/main/java/com/wti/admin/bizMng/reg/dao/BizSttnDAO.java,BizSttnDAO.java,bizSttnDAO
/src/main/java/com/wti/admin/bizMng/sttn/dao/BsbyAplySttnDAO.java,BsbyAplySttnDAO.java,bsbyAplySttnDAO
/src/main/java/com/wti/admin/bizMng/sttn/dao/BsbySprtSttnDAO.java,BsbySprtSttnDAO.java,bsbySprtSttnDAO
/src/main/java/com/wti/admin/bizMng/wfsCntr/dao/WfsAplyInfoDAO.java,WfsAplyInfoDAO.java,wfsAplyInfoDAO
/src/main/java/com/wti/admin/bizMng/wfsCntr/dao/WfsCnslSttnDAO.java,WfsCnslSttnDAO.java,wfsAdmCnslSttnDAO
/src/main/java/com/wti/admin/bizofc/dao/BizofcMngDAO.java,BizofcMngDAO.java,bizofcMngDAO
/src/main/java/com/wti/admin/cmn/bizAply/dao/AccnSrvySttnDAO.java,AccnSrvySttnDAO.java,AccnSrvySttnDAO
/src/main/java/com/wti/admin/cmn/bizAply/dao/AplyAcptSttnDAO.java,AplyAcptSttnDAO.java,aplyAcptSttnDAO
/src/main/java/com/wti/admin/cmn/bizAply/dao/SelEvalSttnDAO.java,SelEvalSttnDAO.java,SelEvalSttnDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/BizAgrmSttnDAO.java,BizAgrmSttnDAO.java,BizAgrmSttnDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/BizBscsSttnDAO.java,BizBscsSttnDAO.java,BizBscsSttnDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/DfmnAplyInfoDAO.java,DfmnAplyInfoDAO.java,DfmnAplyInfoDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/DfmnAplyRegDAO.java,DfmnAplyRegDAO.java,DfmnAplyRegDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/DfmnAplySttnDAO.java,DfmnAplySttnDAO.java,DfmnAplySttnDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/OtcmEvalSttnDAO.java,OtcmEvalSttnDAO.java,otcmEvalSttnDAO
/src/main/java/com/wti/admin/cmn/bizMng/dao/SbsdDlvyApplySttnDAO.java,SbsdDlvyApplySttnDAO.java,sbsdDlvyApplySttnDAO
/src/main/java/com/wti/admin/cmn/pop/dao/ChrgrChcDAO.java,ChrgrChcDAO.java,chrgrChcDAO
/src/main/java/com/wti/admin/cmn/pop/dao/ExcelFileUpldDAO.java,ExcelFileUpldDAO.java,excelFileUpldDAO
/src/main/java/com/wti/admin/cmn/pop/dao/MbrInqrDAO.java,MbrInqrDAO.java,MbrInqrDAO
/src/main/java/com/wti/admin/cmn/pop/dao/RlorgChcDAO.java,RlorgChcDAO.java,rlorgChcDAO
/src/main/java/com/wti/admin/cmn/pop/dao/SchInfoListDAO.java,SchInfoListDAO.java,schInfoListDAO
/src/main/java/com/wti/admin/cndept/bdgtAplct/dao/CndeptBdgtAplctMngDAO.java,CndeptBdgtAplctMngDAO.java,cndeptBdgtAplctMngDAO
/src/main/java/com/wti/admin/cndept/bizAply/dao/CndeptAccnSrvyRegDAO.java,CndeptAccnSrvyRegDAO.java,cndeptAccnSrvyRegDAO
/src/main/java/com/wti/admin/cndept/bizAply/dao/CndeptBizAplyInfoDAO.java,CndeptBizAplyInfoDAO.java,cndeptBizAplyInfoDAO
